(.venv) PS C:\Users\ADOLFO\Desktop\MY\MARIO_G> python .\snake_ia.py
pygame 2.6.1 (SDL 2.28.4, Python 3.10.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Gen 1 | Mejor Score: 0 | Récord: 0
Gen 2 | Mejor Score: 1 | Récord: 1
Gen 3 | Mejor Score: 0 | Récord: 1
Gen 4 | Mejor Score: 1 | Récord: 1
Gen 5 | Mejor Score: 1 | Récord: 1
Gen 6 | Mejor Score: 1 | Récord: 1
Gen 7 | Mejor Score: 1 | Récord: 1
Gen 8 | Mejor Score: 0 | Récord: 1
Gen 9 | Mejor Score: 1 | Récord: 1
Gen 10 | Mejor Score: 1 | Récord: 1
Gen 11 | Mejor Score: 0 | Récord: 1
Gen 12 | Mejor Score: 0 | Récord: 1
Gen 13 | Mejor Score: 0 | Récord: 1
Gen 14 | Mejor Score: 1 | Récord: 1
Gen 15 | Mejor Score: 0 | Récord: 1
Gen 16 | Mejor Score: 1 | Récord: 1
Gen 17 | Mejor Score: 1 | Récord: 1
Gen 18 | Mejor Score: 1 | Récord: 1
Gen 19 | Mejor Score: 1 | Récord: 1
Gen 20 | Mejor Score: 0 | Récord: 1
Gen 21 | Mejor Score: 1 | Récord: 1
Gen 22 | Mejor Score: 0 | Récord: 1
Gen 23 | Mejor Score: 1 | Récord: 1
Gen 24 | Mejor Score: 0 | Récord: 1
Gen 25 | Mejor Score: 1 | Récord: 1
Gen 26 | Mejor Score: 0 | Récord: 1
Gen 27 | Mejor Score: 0 | Récord: 1
Gen 28 | Mejor Score: 0 | Récord: 1
Gen 29 | Mejor Score: 1 | Récord: 1
Gen 30 | Mejor Score: 1 | Récord: 1
Gen 31 | Mejor Score: 1 | Récord: 1
Gen 32 | Mejor Score: 0 | Récord: 1
Gen 33 | Mejor Score: 1 | Récord: 1
Gen 34 | Mejor Score: 1 | Récord: 1
Gen 35 | Mejor Score: 0 | Récord: 1
Gen 36 | Mejor Score: 0 | Récord: 1
Gen 37 | Mejor Score: 1 | Récord: 1
Gen 38 | Mejor Score: 1 | Récord: 1
Gen 39 | Mejor Score: 1 | Récord: 1
Gen 40 | Mejor Score: 1 | Récord: 1
Gen 41 | Mejor Score: 1 | Récord: 1
Gen 42 | Mejor Score: 1 | Récord: 1
Gen 43 | Mejor Score: 2 | Récord: 2
Gen 44 | Mejor Score: 1 | Récord: 2
Gen 45 | Mejor Score: 1 | Récord: 2
Gen 46 | Mejor Score: 1 | Récord: 2
Gen 47 | Mejor Score: 1 | Récord: 2
Gen 48 | Mejor Score: 1 | Récord: 2
Gen 49 | Mejor Score: 0 | Récord: 2
Gen 50 | Mejor Score: 0 | Récord: 2
Gen 51 | Mejor Score: 1 | Récord: 2
Gen 52 | Mejor Score: 1 | Récord: 2
Gen 53 | Mejor Score: 1 | Récord: 2
Gen 54 | Mejor Score: 1 | Récord: 2
Gen 55 | Mejor Score: 2 | Récord: 2
Gen 56 | Mejor Score: 1 | Récord: 2
Gen 57 | Mejor Score: 1 | Récord: 2
Gen 58 | Mejor Score: 0 | Récord: 2
Gen 59 | Mejor Score: 1 | Récord: 2
Gen 60 | Mejor Score: 1 | Récord: 2
Gen 61 | Mejor Score: 1 | Récord: 2
Gen 62 | Mejor Score: 1 | Récord: 2
Gen 63 | Mejor Score: 1 | Récord: 2
Gen 64 | Mejor Score: 1 | Récord: 2
Gen 65 | Mejor Score: 1 | Récord: 2
Gen 66 | Mejor Score: 0 | Récord: 2
Gen 67 | Mejor Score: 1 | Récord: 2
Gen 68 | Mejor Score: 1 | Récord: 2
Gen 69 | Mejor Score: 0 | Récord: 2
Gen 70 | Mejor Score: 1 | Récord: 2
Gen 71 | Mejor Score: 1 | Récord: 2
Gen 72 | Mejor Score: 1 | Récord: 2
Gen 73 | Mejor Score: 1 | Récord: 2
Gen 74 | Mejor Score: 1 | Récord: 2
Gen 75 | Mejor Score: 1 | Récord: 2
Gen 76 | Mejor Score: 1 | Récord: 2
Gen 77 | Mejor Score: 1 | Récord: 2
Gen 78 | Mejor Score: 1 | Récord: 2
Gen 79 | Mejor Score: 1 | Récord: 2
Gen 80 | Mejor Score: 1 | Récord: 2
Gen 81 | Mejor Score: 1 | Récord: 2
Gen 82 | Mejor Score: 1 | Récord: 2
Gen 83 | Mejor Score: 1 | Récord: 2
Gen 84 | Mejor Score: 1 | Récord: 2
Gen 85 | Mejor Score: 2 | Récord: 2
Gen 86 | Mejor Score: 1 | Récord: 2
Gen 87 | Mejor Score: 4 | Récord: 4
Gen 88 | Mejor Score: 1 | Récord: 4
Gen 89 | Mejor Score: 1 | Récord: 4
Gen 90 | Mejor Score: 2 | Récord: 4
Gen 91 | Mejor Score: 2 | Récord: 4
Gen 92 | Mejor Score: 1 | Récord: 4
Gen 93 | Mejor Score: 1 | Récord: 4
Gen 94 | Mejor Score: 1 | Récord: 4
Gen 95 | Mejor Score: 1 | Récord: 4
Gen 96 | Mejor Score: 1 | Récord: 4
Gen 97 | Mejor Score: 1 | Récord: 4
Gen 98 | Mejor Score: 3 | Récord: 4
Gen 99 | Mejor Score: 1 | Récord: 4
